post_title,post_text,label
"Please suggest a good SHORT LIVED TV SHOW","Please suggest a good short lived show......anything which has less than 50 episodes(miniseries will also do).The show could have ended or cancelled,doesnt matter",recommendation
"Can someone suggest some British comedy?","I've enjoyed the following British shows. -Monty Python's Flying Circus -That Mitchel and Webb Look -The Mighty Boosh -Little Britain -Chickens -Merlin (light enough for me to list, I think)",recommendation
"What is the first TV show you would suggest to someone who's looking to get into TV?","Obviously it really depends on the person, but what are some of the shows (comedy or drama) that come to mind first?",recommendation
"Good Dramedy suggestions?","Can you guys suggest some good comedy/drama shows? So far I've seen:",recommendation
"Suggestions for new years binge watch","So each year I tend to spend new years just binge watching a show. Last year it was the entirety of the x-files. This year I'm at a loss at to watch to watch.",recommendation
"I watch too many comedies. I need help choosing a new show to watch, but it must be a drama. Any suggestions?","I'd like to watch a show that is either new and looks like it'll be around for a long time (3 or more seasons), or a show that has all previous seasons easily accessible (netflix, hulu plus, etc). Preferably a show that is still on the air!",recommendation
"Show Recommendations Based on my Favorites","What series do you recommend based on some of my favorite shows I’ve watched:",recommendation
"(Not sure if this belongs here?) What TV show would you suggest to me if I liked Doctor Who? Especially if I like the deeper, touching, more emotional parts of Doctor Who?","I personally think that the writing for Doctor Who was amazing, and I know that there aren't many (if any?) shows out there like it. But what shows would you recommend I watch?",recommendation
"Need a new series to watch, could anyone suggest one?","I recently finished re-watching Breaking Bad and im looking for a new series to watch. Some that I have thouroughly enjoyed and conisder my favourites are:",recommendation
"Need to write a research paper on a TV show of my choice. Any suggestions?","I will also need to know why you chose the TV show that you did.",recommendation
"hey /r/television, I'm looking for suggestions for shows to watch!","So, r/television, I'm looking for a show to watch. I'm MAINLY looking for a half hour show, specifically comedy, because I don't feel like I want to take on an hour long show right now and want something light.. but I am open to ALL suggestions.",recommendation
"People of r/television - I need some suggestions for TV shows to watch, everything has finished for summer and I'm getting lost without stuff to watch","As said I'm out of things to watch after just watching 4 seasons of arrested development in like 3 days. Before anyone says walking dead, breaking bad, game of thrones or dexter its on my to watch list, but I haven't got into them properly, I shall watch them though I'm just not feeling them right now.",recommendation
"What are some shows you guys suggest?","Over the summer i want to try to watch as many different shows as possible. They can be anything from current, to old, on-going or cancelled, etc. thanks! Will publish final list",recommendation
"Any good western tv suggestions?","I'm currently watching Westworld but I would also like something a little less futuristic and more simplistic",recommendation
"I'm a cord cutter but I miss all the christmas TV shows and movies I'd find flipping through channels, can you suggest any?","I know channels like hallmark and freeform would air a lot. I'm really looking for the not well know ones.",recommendation
"New sitcom/comedy show suggestions required...","Just finished the latest season of workaholics, up to date on brooklyn 99, finished deadbeat, alpha house... Etc, there must be a decent show out there I've not done to death.",recommendation
"Alright, r/television, I need a new show to watch, give me some suggestions.","I've seen every episode of the following television shows:",recommendation
"What network tv shows would you suggest I watch?","I know this is pretty stupid, but I have honestly written off all network TV shows for my whole life, without giving them a shot.",recommendation
"Need some suggestions for great Craig Ferguson interviews","Except for a random interview here and there, I've never really watched the Craig Ferguson show.",recommendation
"Suggest a new TV Series?","So I've realized that most of the shows I watch have ended in the past few years. Some ended a while before that, but I still managed to have enough that I enjoyed. Here's a list of what I like that doesn't run anymore:",recommendation
"I'm looking for some TV shows to watch and thought you guys could give me a few good suggestions","Shows I really enjoy or just recently finished are:",recommendation
"Suggestion for getting into The Office?","I see all these really funny posts with parts from The Office. Where should I start?",recommendation
"Can anyone suggest any good british comedy series?","I live in 'merica, but i find that most of the attempts at comedy on tv here are... crap due to, i assume, people being way too focused on political correctness.",recommendation
"Can you suggest any tv shows/movies about gay women in the 50's-60's?","I was watching Carol the other day and it reminded me of American Horror Story: Asylum with Lana Winters and the bunch since Sarah Paulson's in both.",recommendation
"Hey guys! I was wondering if you guys could suggest some shows for me and my family on Netflix (UK/Ireland)?","So me, my sister and my mother love to sit down together each night to watch Netflix- I was hoping you guys would know what else we may like.",recommendation
"Twilight Zone episode suggestions?","I decided to watch this show out of the blue and saw the "Eye of the Beholder" episode where the lady had the bandaged face.",recommendation
"Any suggestions for good light or comedy shows?","I like shows like The Big Bang Theory/Modern Family/How I Met Your Mother /It's Always Sunny in Philadelphia / friends/scrubs/arrested development/ THE IT CROWD /Community, Parks and Rec/30 rock ... etc.",recommendation
"Can you suggest me a show to watch according to my watch list?","Hello there, in the last year i haven't been working (sold my website for....alot) and i'm pretty much set for a while. in that time i have dedicated myself into working out and watching tv shows.",recommendation
"Can you suggest a short (~10 minute) show to wind down at night?","When the partner and I get home from a workout it's almost bed time, but we need a short show to pop on and wind down before hitting the hay.",recommendation
"Suggestions?","So far I've finished: Skins (UK), Lost, South Park, Heroes, Merlin, Sherlock, and Alphas.",recommendation
"What’s an unpopular TV show opinion you have that will certainly ruffle some feathers?","Here goes mine: Breaking Bad was an underwhelming watch and possibly the most overrated show of my time.",opinion
"What’s your unpopular TV show opinion?", "Hi. Hope you’re doing well. None of these I mention are necessarily my views but just some opinions I have observed over the years and topics which divide opinions.",opinion
"Are there TV shows the critics didn't like but the fans liked?",,opinion
"Your unpopular television hot take?","What is a television hot take of yours that would probably leave you shunned by the population?",opinion
"I love Daisy Jones and The Six","Am I the only one who binge-watched Daisy Jones & The Six because I absolutely loved it?",opinion
"Star City","Hi guys,I haven't heard many talk about this show but it's phenomenal! I feel much better than the last several seasons of For All Mankind.",opinion
"Kevin McKidd Joins 'Conviction,' Hulu Legal Drama With Elisabeth Moss",,news
"The Agency...","I tried so hard to like this. I stuck it out through episode 6 but it's just SOOO SLOW. I don't care about any of the characters. Am I missing something??",opinion
"I struggle to finish TV series because ending them feels like losing them","I've noticed I have this weird problem with TV shows that I really love. When I get really attached to a show and its characters, I sometimes don't want to finish it.",opinion
"Shoulder Angel and Devil concept should be brought back in tv shows.","I don't know if this was only popular in animated shows in the past, but I liked it. It was a fun cute way to show internal conflict a character was having in a metaphorical external way, why is this never used anymore?",opinion
"Sam Levinson Defends ‘Euphoria’s “Fairly Critical” Depiction Of OnlyFans Culture: “It Hollows Out The Individual”",,news
"In your opinion, what is the best show ever made? It’s a tie between Arcane and Andor for me.",,opinion
"Don’t Forget These 11 Latino Emmy Contenders, From Selena Gomez to Andy Garcia",,news
"mediocre TV shows that you still can’t believe swept the emmys","What are some TV shows that swept their emmy categories but you still can’t fathom how that was possible given how mediocre the show is.",opinion
"My thoughts on The Wire vs. The Shield (in 2026)","So, as a young man in the 2000s it was almost my duty to watch these two gritty cop shows about crime and corrupt authority figures. When the Shield came out on cable in ‘02, I used to watch it every week on the FX channel.",opinion
"is Into The Badlands the worst TV show ever made? (Lol…..)","worst *Adventure/Action TV show I don’t understand how a show can hire so many terrible actors/actresses all in one big swing like this. Like, it’s bad. It’s truly, truly remarkable how bad it is lol",opinion
"Matthew McConaughey & Woody Harrelson Comedy Series ‘Brothers’ Gets Fall Premiere Date At Apple TV", "Starring and executive produced by McConaughey and Harrelson, the pair play fictionalized versions of themselves whose friendship is thrown into chaos when they uncover a decades-old secret: they might actually be brothers. After Woody’s daughter’s wedding falls apart, he loads up the family and heads to Austin for an extended stay at Matthew’s ranch.",news
"'The Traitors: New Blood' Sets September Premiere Date On NBC For Civilian Series",,news
"Saweetie Joins Season 2 Of Netflix Teen Drama ‘Bet’",,news
"Succession rewatch","God damn I love this show. I’m actually loving it more on a rewatch than I originally did. I officially have a “Big 3” and its Sopranos, Wire, and Succession.",opinion
"Mark Hamill Joins Peacock's 'Twisted Metal' For Season 3",,news
"‘Only Murders In The Building’: David Tennant, Nicola Coughlan, Jodie Whittaker & Jim Broadbent Among Season 6 Cast Additions",,news
"X-Men '97 Review: Season 2 Revisits Apocalypse's Epic Story With Heart, Purpose, And Satisfying Surprises",,news
"Actors who look so much older than the characters they play is distracting","I've been rewatching Party of Five on Tubi but feel like I'm going to quit soon because it's so awkward how much older the actors look than the characters they portray (because they are). Scott Wolf was 26 years old, looks 30, and is supposed to be playing a freshly minted 16 year old who buys his first car in the season premiere episode.",opinion
"Tyra Banks Sues Netflix for Defamation, Alleges ‘Surgical Manipulation’ of Her ‘Reality Check: Inside America’s Next Top Model’ Interview",,news
"Just started watching The Expanse! It's incredible.","Just finished season 1 and starting season 2 now. Speaking as someone who has read the books, I was pleasantly surprised by how excellent The Expanse adaptation is.",opinion
"Everything Game of Thrones did, HBO series Rome did better.",,opinion
"Title: What TV show do you think genuinely got better as it went on instead of declining?","Most conversations about TV shows eventually come back to the disappointment of a series that started strong and lost its way. We talk about that a lot, and rightfully so. But I feel like we don't spend enough time on the opposite, shows that actually found their footing over time and became something special.",opinion
"Thoughts on Salvador on Netflix?","Just finished my watch of Salvador, a show that came out on Netflix this year. Was really impressed by it. The story follows a paramedic in Spain who gets tied up with a neo-nazi gang in his search for vengeance against a loved one’s death.",opinion
"Young Royals is fantastic TV","I finished watching the show for the first time and was surprised by how great it was. The writing is so raw and the character work is wonderful. I love how the cliches are not really there. There's no mean girl, there's no brooding bad boy, or things of the sort.",opinion
"Peter Sarsgaard Joins ‘The Last Of Us’ Season 3 as HBO Series Goes on Filming Hiatus",,news
"‘Only Murders in the Building’ Season 6 Adds 8 to Cast, Including Martin Freeman, Geri Halliwell-Horner, Jamie Demetriou, Anjana Vasan, Jane Horrocks, Derek Jacobi, and Lesley Nicol",,news
"Yellowstone is now like The Simpsons after season 10","Yellowstone, at one point, seemed like it would be a solid show - Kevin Costner (regardless of your view of him as a person) seems to be well cast in Westerns, and the rest of the cast seemed quite good in their roles.",opinion
"What is the most egregious example you can think of of "The writers have clearly never met a human child and have no idea how they're supposed to act/talk at the age they're trying to portray."",,opinion
"Best Pacing and escalation I've seen so far","Maybe it's because I'm still watching Tell me lies but honestly the escalations always catch me off guard. Yet they are very in line with what the characters would actually do. Love this series",opinion
"Update on plans for the future of Doctor Who",,news
"Mr. Mayor (2021) was probably the least well received Tina Fey show but it's worth the time","This show had a lot of things going against it from the jump. The two biggest being fans feeling letdown knowing it was originally a 30 Rock sequel & everything involving the pandemic.",opinion
"Trump Gets Booed & Falls Asleep During NBA Finals, Claims War is Almost Over & Goodbye Spencer Pratt | Jimmy Kimmel Live",,news
"'Pure malevolence': How Cape Fear's psychopath Max Cady became one of America's all-time greatest villains",,opinion
"What you think about Roswell (1999 - 2002)","In this we follow 3 alien teenagers Max , Isabel and Michael, Max girlfriend Liz and her friends Maria and Kyle are helping them to not discovered .",opinion
"How did you feel when your favorite show ended?",,opinion
"I just finished Family Matters! Here are my thoughts and season rankings.","I was actually a big fan of Family Matters back in the 2000s, and I think it's always been my favorite TGIF show. I was so happy to finally binge the whole series again, I think, after nearly two decades.",opinion
"‘SpongeBob SquarePants’ & ‘The Patrick Star Show’ Renewed For More Seasons By Nickelodeon",,news
"‘Adults’ Season 2 Sets Release Date, Guest Stars Include Jake Shane and Gaten Matarazzo",,news
"‘A Good Girl’s Guide to Murder’ Renewed for Third and Final Season at Netflix",,news
"Watched Station Eleven now I feel so sad","I rarely find TV series/movies that I will like this much, now I feel sad that i finished the series lol. It will take years to find something that will feel like this;)",opinion
"The Good Place is fun but has no logic.","There are a lot of reasons for this, like Chidi not caring about the fact that hell exists and there are indeed people being tortured there forever, but the main thing is no one getting onto the good place for 500 years (or whatever it was) especially after talking about Lincoln specifically being the only president to get in and the fact that the medium place exists at all (how the hell did she come close to getting into the good place at all in the 80s?).",opinion
"Is True Detective worth watching knowing it falls off after Season 1?","I’ve been burned too many times by horrible final seasons… but I’ve heard so many rave reviews of Season 1. Should I just watch the first season?",opinion
"‘Scooby Doo’ Live-Action Netflix Series Reveals First Look at Crime-Solving Canine, to Premiere in 2027",,news
"What are some random moments from TV shows that you saw as a kid that have always stuck with you? Even if they're not relevant to anything in your life, they just have permanent residence in your memory?",,opinion
"What is your favorite niche?","The title says it all. What is your favorite show that has a cult following and that stays in your heart?",opinion
"Widow’s Bay Is The Best Thing I’ve Seen In Years!","Second and third season it right tf now.",opinion
"What are the best TV shows or moments that are now lost media?",,opinion
"Edward Bluemel to play Agatha Christie detective Hercule Poirot in new BBC and BritBox series",,news
"What’s the funniest tv scene that makes you laugh so hard, even in rewatches?","Jackie’s reaction to her father’s death on Roseanne",opinion
"‘The Four Seasons’ & ‘A Good Girl’s Guide To Murder’ Extend Netflix’s Sophomore Viewership Slump",,news
"The Americans","Really enjoyed this show. First show I have watched with Matthew Rhys and Keri Russell. Margo Martindale was great in it like she usually is in shows I have watched her in. What did you all think?",opinion
"Just finished Yellowstone?","I watched a few episodes a year or so ago and couldn't really get into it. Well now im part time so im trying to find some shows to watch and figured " Hey why not". And I think my initial thoughts were right.",opinion
"The Paper: Season One will be released on Blu-ray in July 2026.",,news
"Who is the most irredeemably evil character in television history?",,opinion
"What's the best TV show that almost nobody talks about anymore?","Every time people discuss the greatest shows, it's always the same handful of names.",opinion
"Homicide and Law & Order","I restreaming Homicide: Life on the street. I have seen so many actors at the start of their careers. Every episode is a gold mine.",opinion
"Ted Danson Joins Elizabeth Banks in Apple TV Comedy",,news
"Why ‘The Comeback’ Made AI the Big Threat of Its Final Season",,news
"‘Ghostbusters: Night Shift’: Netflix and Sony Animation Reveal Title, Logo for New Series, coming 2027",,news
"What are the best mentor/mentee relationships in TV history?",,opinion
"What television adaptations are better than the source material?",,opinion
"Among Us Show Surprise Drops on Paramount",,news
"Cape Fear review: Javier Bardem brings a controlled intensity to his very modern-day villain | "Bardem walks a tightrope of charismatic cunning as Patrick Wilson and Amy Adams' co-star in Apple TV's 10-part thriller."",,opinion
"Jake Johnson & Damon Wayans Jr. To Headline ‘The Cable Guy’-Inspired Comedy Pilot Ordered By Hulu In ‘New Girl’ Reunion",,news
"Has a TV Show ever completely taken over your brain?","I finished watching a TV series and ever since then I haven’t been able to stop thinking about it.",opinion
"What is an opinion you have that would get you automatically downvoted here?","I'll start.I think that Brooklyn Nine-Nine is an incredibly generic and run-of-the-mill sitcom. It has some good scenes in some episodes but as a whole the show is pretty average.",opinion
"What are some general television hot takes you have?","Does anyone here have any opinions that are not collectively agreed upon?",opinion
"What’s the most overrated show ever?","There’s no question that TV has vastly improved in quality over the last couple decades or so. This is a form of media that went from a lower grade amusement to arguably the premiere method of contemporary entertainment.",opinion
"Outstanding Performances/Characters in an Otherwise Mediocre/Bad Show","I recently watched S2 of Altered Carbon, which was honestly quite underwhelming, and once again Poe completely outclasses everyone. Goddamn Chris Conner really deserves to be more famous than he currently is.",opinion
"What are some series that you feel are highly underrated or far less popular/unknown than they deserve to be?","For me, I gotta go with: High Maintenance (HBO) - This series is unlike any that I've ever seen or even heard of.",opinion
"What’s the most underrated TV Show you’ve watched?","Question on the title. I feel like i’ve watched all the most famous TV shows.",opinion
"You ever finish a show that was so good that you just go back to episode one and start rewatching right away?",,opinion
"Have you ever finished a long running series and felt relief that it was over?","Inspired by u/ravia's recent post on the long running series that saddened you when they ended, what about the ones that leave you saying, "whew, thank God it's finally over"?",opinion
"Feeling obligated to finish a TV show you don't enjoy anymore.","Anybody else find themselves watching a Tv show they don't like and enjoy anymore just because they want to finish it?",opinion
"Jimmy Kimmel ‘Felt Defeated’ by Stephen Colbert’s Cancellation and Says Late-Night TV Is Not ‘Dying of Natural Causes’: ‘We’re Being Poisoned’",,news
"‘Gen V’ Canceled After 2 Seasons, ‘The Boys’ Next Spinoff ‘Vought Rising’ Confirmed For 2027 Launch",,news
"Every Show Canceled by Netflix in 2023",,news
""Rob Reiner — Scenes From a Life" Special on CBS News Hits 6.2 Million Viewers",,news
"‘E! News’ Canceled After 34 Years",,news
"Terrible news: Netflix has renewed A Series of Unfortunate Events for a second season",,news
"HarryPotter star Rupert Grint has joined his friend Daniel Radcliffe in passing on some wisdom to the cast of the new HBO series. In an interview with BBC News, Grint revealed that he had written to Alastair Stout, who is taking on the role of Ron Weasley in the reimagining of J.K. Rowling’s fanta",,news
"Stephen Colbert Recalls Moment He Found Out ‘The Late Show’ Was Canceled and Delivering the News to His Staff: ‘I Had Sweat Through My Shirt’",,news
"From Renewed for Season 2 at Epix",,news
"'Unforgotten' has been renewed for Season 7 at ITV",,news
"You Renewed by Netflix for Season 4 Ahead of Season 3 Debut",,news
"Pete Davidson’s Peacock Comedy ‘Bupkis’ Will Not Return for a Season 2 Despite Renewal",,news
"THE RIGHT STUFF | Disney+ Trailer",,news
"Stranger Things 4 | Vol. 1 Official Trailer | Netflix",,news
"American Horror Stories official trailer",,news
"‘Scrubs’ Revival Adds 9 to Cast, Vanessa Bayer and Joel Kim Booster Join With Robert Maschio and Phill Lewis Returning",,news
"Hayes Warner Joins Cast Of Ryan Murphy’s FX Series ‘The Shards’",,news
"James Purefoy, Brooke Smith, Felix Solis Among 9 Cast In Season 2 Of Netflix’s ‘The Recruit’",,news
"Paramount+'s canceled ‘Halo’ TV series has found a new lease of life on Netflix, swiftly becoming one of the streaming service's most popular shows",,news
"‘Housebroken’ Canceled At Fox After Two Seasons",,news
"Tiny Chef has been cancelled by Nickelodeon. The creators have released an exclusive clip of Tiny Chef hearing the heartbreaking news.",,news
"‘Laid’ Canceled At Peacock After One Season",,news
"Netflix cancels planned TV and Movie adaptations of Brian Jacques’ "Redwall" book series",,news
"‘Cruel Intentions’ Canceled After One Season at Amazon",,news
"'Wheel of Time' Boss Breaks Silence After Cancellation of Beloved Prime Video Fantasy Series",,news
"Neil Gaiman’s ‘The Sandman’ Canceled at Netflix, Will End With Season 2",,news
"“Superman and Lois” was cancelled to avoid competing with the upcoming “Superman: Legacy” film",,news
